layerName;execStatus;layerType;execType;realTime (ms);cpuTime (ms)
inception_4c/3x3;EXECUTED;Convolution;MyriadXHwOp;0.469;0.0
inception_4c/1x1;EXECUTED;Convolution;MyriadXHwOp;0.095;0.0
inception_4c/pool;EXECUTED;Pooling;MyriadXHwOp;0.126;0.0
inception_4c/pool_proj;EXECUTED;Convolution;MyriadXHwOp;0.054;0.0
inception_4d/5x5_reduce;EXECUTED;Convolution;MyriadXHwOp;0.037;0.0
inception_4d/5x5;EXECUTED;Convolution;MyriadXHwOp;0.078;0.0
inception_4d/3x3_reduce;EXECUTED;Convolution;MyriadXHwOp;0.169;0.0
inception_4d/3x3;EXECUTED;Convolution;MyriadXHwOp;0.588;0.0
inception_4d/1x1;EXECUTED;Convolution;MyriadXHwOp;0.093;0.0
inception_4d/pool;EXECUTED;Pooling;MyriadXHwOp;0.125;0.0
inception_4d/pool_proj;EXECUTED;Convolution;MyriadXHwOp;0.054;0.0
inception_4e/5x5_reduce;EXECUTED;Convolution;MyriadXHwOp;0.038;0.0
inception_4e/5x5;EXECUTED;Convolution;MyriadXHwOp;0.152;0.0
pool4/3x3_s2;EXECUTED;Pooling;MyriadXHwOp;0.082;0.0
inception_4e/3x3_reduce;EXECUTED;Convolution;MyriadXHwOp;0.173;0.0
inception_4e/3x3;EXECUTED;Convolution;MyriadXHwOp;0.705;0.0
inception_4e/1x1;EXECUTED;Convolution;MyriadXHwOp;0.212;0.0
inception_4e/pool;EXECUTED;Pooling;MyriadXHwOp;0.13;0.0
inception_4e/pool_proj;EXECUTED;Convolution;MyriadXHwOp;0.108;0.0
inception_5a/5x5_reduce;EXECUTED;Convolution;MyriadXHwOp;0.019;0.0
inception_5a/5x5;EXECUTED;Convolution;MyriadXHwOp;0.056;0.0
inception_5a/3x3_reduce;EXECUTED;Convolution;MyriadXHwOp;0.081;0.0
inception_5a/3x3;EXECUTED;Convolution;MyriadXHwOp;0.248;0.0
inception_5a/1x1;EXECUTED;Convolution;MyriadXHwOp;0.112;0.0
inception_5a/pool;EXECUTED;Pooling;MyriadXHwOp;0.062;0.0
inception_5a/pool_proj;EXECUTED;Convolution;MyriadXHwOp;0.058;0.0
inception_5b/5x5_reduce;EXECUTED;Convolution;MyriadXHwOp;0.029;0.0
inception_5b/5x5;EXECUTED;Convolution;MyriadXHwOp;0.09;0.0
inception_5b/3x3_reduce;EXECUTED;Convolution;MyriadXHwOp;0.085;0.0
inception_5b/3x3;EXECUTED;Convolution;MyriadXHwOp;0.348;0.0
inception_5b/1x1;EXECUTED;Convolution;MyriadXHwOp;0.167;0.0
inception_5b/pool;EXECUTED;Pooling;MyriadXHwOp;0.062;0.0
inception_5b/pool_proj;EXECUTED;Convolution;MyriadXHwOp;0.058;0.0
pool5/7x7_s1;EXECUTED;Pooling;MyriadXHwOp;0.03;0.0
loss3/classifier;EXECUTED;FullyConnected;Copy;0.238;0.0
loss3/loss3;EXECUTED;SoftMax;SoftMax;0.034;0.0
Total;;;;16.56;0.0

