Date;Model;Model_Short;Hardware;Batch;Mean_Latency;Latencies
2021-02-23 10:17:53;ssd_mobilenet_v2_R300x300_D100_coco17_pets;MobNetV2_300x300_D100;CPU_Intel_i5;1;0.053217687104877676;[0.055608510971069336, 0.05268096923828125, 0.05171966552734375, 0.05271720886230469, 0.05073356628417969, 0.05272960662841797, 0.05269312858581543, 0.05563640594482422, 0.054677724838256836, 0.053655385971069336, 0.051748037338256836, 0.0536956787109375, 0.052733659744262695, 0.053664445877075195, 0.05464816093444824, 0.05269598960876465, 0.052671194076538086, 0.052730560302734375, 0.0536961555480957]
2021-02-23 11:22:29;ssd_mobilenet_v2_R300x300_D100_coco17_pets;MobNetV2_300_D100;CPU_Intel_i5;1;0.05457417588484915;[0.05562329292297363, 0.05762457847595215, 0.05273318290710449, 0.05273175239562988, 0.05366206169128418, 0.054685115814208984, 0.05761432647705078, 0.05570793151855469, 0.054686546325683594, 0.054727792739868164, 0.05375790596008301, 0.053698062896728516, 0.05463886260986328, 0.0536961555480957, 0.052719831466674805, 0.054673194885253906, 0.05463552474975586, 0.05464982986450195, 0.05464339256286621]
2021-02-23 13:34:25;ssd_mobilenet_v2_R300x300_D100_coco17_pets;MobNetV2_300x300_D100;CPU_Intel_i5;1;0.05652746401335064;[0.053713083267211914, 0.052731990814208984, 0.05662727355957031, 0.05272936820983887, 0.05077838897705078, 0.061506032943725586, 0.06444263458251953, 0.05760836601257324, 0.05072903633117676, 0.060516357421875, 0.06346487998962402, 0.0634605884552002, 0.05469059944152832, 0.05619406700134277, 0.052663326263427734, 0.05272197723388672, 0.06206178665161133, 0.05562281608581543, 0.05175924301147461]
