Network;Step;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large);Loss/localization_loss;Loss/classification_loss;Loss/regularization_loss;Loss/total_loss
tf2oda_efficientdetd2_768_576_coco17_pedestrian;61000;0.43441105;0.9074649;0.32790858;0.06580459;0.44108844;-1.0;0.035611723;0.28751633;0.5326213;0.15765765;0.53767437;-1.0;0.004943737;0.43109334;0.02608043;0.4621175
tf2oda_efficientdetd2_768_576_coco17_pedestrian_all;62000;0.5249281;0.94708145;0.5087226;0.047373887;0.5308625;0.38438225;0.05372392;0.41888905;0.61580765;0.1009009;0.61968964;0.63278687;0.002688112;0.53584504;0.023177873;0.561711
