Date;Model;Model_Short;Hardware;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
2021-02-18 13:51:19;Efficientdetd2_768x576_PETS;EffD2_768_onlyPets;Inteli7-6700HQ-CPU;0.32786449206617707;0.7339160724947248;0.228465392266048;0.0;0.3301930528042603;0.2780507021217007;0.038012988807516926;0.2730413154622081;0.40181705126433603;0.0;0.4044041086252991;0.4103030303030303
2021-02-18 15:24:00;Efficientdetd2_768x576;EffD2_768;Inteli7-6700HQ-CPU;0.5387506936439335;0.901783517890561;0.5735957586670689;0.00198019801980198;0.5449831933363037;0.4532198013158785;0.055243885587950806;0.4340818018515959;0.6081525493989222;0.0010526315789473684;0.6122695933586606;0.6036363636363637
2021-02-18 17:02:36;Efficientdetd2_768x576_LR08;EffD2_768_LR08;Inteli7-6700HQ-CPU;0.5295829268945808;0.894805618846912;0.5483755960743943;0.01089108910891089;0.5343830341294041;0.4652696965503827;0.05663258256183501;0.4324720187923172;0.5992400165814564;0.00631578947368421;0.6028704094554664;0.6284848484848485
2021-02-19 19:41:25;tf2oda_efficientdetd2_768_576_coco17_pedestrian_all_LR0008;EffD2_768_LR0008;Inteli7-6700HQ-CPU;0.5297786217621332;0.9031491239791078;0.5573135128196212;0.007920792079207921;0.5350416555878801;0.43755327789725074;0.05359264888766063;0.42374602735940303;0.5935746856432224;0.00736842105263158;0.5976713099760799;0.5781818181818182
2021-02-22 12:24:01;tf2oda_efficientdetd2_768_576_coco17_pedestrian;EffD2_768_PETS;NVIDIA_RTX2060;0.32786449206617707;0.7339160724947248;0.228465392266048;0.0;0.3301930528042603;0.2780507021217007;0.038012988807516926;0.2730413154622081;0.40181705126433603;0.0;0.4044041086252991;0.4103030303030303
2021-02-22 12:42:14;tf2oda_efficientdetd2_768_576_coco17_pedestrian_all;EffD2_768;NVIDIA_RTX2060;0.5387506936439335;0.901783517890561;0.5735957586670689;0.00198019801980198;0.5449831933363037;0.4532198013158785;0.055243885587950806;0.4340818018515959;0.6081525493989222;0.0010526315789473684;0.6122695933586606;0.6036363636363637
2021-02-22 12:59:19;tf2oda_efficientdetd2_768_576_coco17_pedestrian_all_LR0008;EffD2_768_LR0008;NVIDIA_RTX2060;0.5297786217621332;0.9031491239791078;0.5573135128196212;0.007920792079207921;0.5350416555878801;0.43755327789725074;0.05359264888766063;0.42374602735940303;0.5935746856432224;0.00736842105263158;0.5976713099760799;0.5781818181818182
2021-02-22 13:15:57;tf2oda_efficientdetd2_768_576_coco17_pedestrian_all_LR08;EffD2_768_LR08;NVIDIA_RTX2060;0.5295829268945808;0.894805618846912;0.5483755960743943;0.01089108910891089;0.5343830341294041;0.4652696965503827;0.05663258256183501;0.4324720187923172;0.5992400165814564;0.00631578947368421;0.6028704094554664;0.6284848484848485
2021-02-22 18:06:57;tf2oda_ssdmobilenetv2_320_240_coco17_D100_pedestrian;SSDMobNet2_320_D100;Inteli7-6700HQ-CPU;0.3290883842408561;0.7198528226119406;0.2464775188229905;0.008745874587458746;0.3303185050927418;0.3469721627816285;0.04175763437888628;0.340894016857814;0.44163327345585185;0.008421052631578949;0.4439144505417195;0.4945454545454545
2021-02-23 12:16:45;tf2oda_efficientdetd2_768_576_coco17_pedestrian;EffD2_768;Inteli7-6700HQ-CPU;0.3105927241480894;0.7195769354434092;0.20786080552997294;0.03663366336633663;0.3123499823026336;0.241258613966559;0.03665883653447562;0.2633204366450187;0.3868453779190272;0.03333333333333334;0.38955831753388104;0.3942622950819672
2021-02-23 16:19:49;tf2oda_efficientdetd2_768_576_coco17_pedestrian;EffD2_768;Inteli7-6700HQ-CPU;0.3105927241480894;0.7195769354434092;0.20786080552997294;0.03663366336633663;0.3123499823026336;0.241258613966559;0.03665883653447562;0.2633204366450187;0.3868453779190272;0.03333333333333334;0.38955831753388104;0.3942622950819672
